targetLeft_x[pixels] targetLeft_y[pixels] targetRight_x[pixels] eyeVergence[deg] eyePan[deg] eyeTilt[deg] neckPan[deg] neckTilt[deg]
1.000 1.000 0.000 1.244 -0.825 0.173 -10.386 -1.128 
1.000 0.050 -0.950 1.249 -0.819 0.171 -10.399 -1.134 
1.000 0.953 -0.048 1.251 -0.813 0.170 -10.399 -1.136 
1.000 0.050 -0.950 1.253 -0.807 0.169 -10.399 -1.131 
1.000 0.002 -0.998 1.254 -0.798 0.167 -10.416 -1.125 
1.000 0.950 -1.000 1.257 -0.791 0.166 -10.410 -1.125 
1.000 0.048 -1.000 1.261 -0.784 0.165 -10.421 -1.133 
1.000 0.000 -1.000 1.261 -0.784 0.165 -10.421 -1.133 
1.000 0.000 -1.000 1.267 -0.778 0.161 -10.417 -1.119 
1.000 0.000 -0.050 1.267 -0.778 0.161 -10.417 -1.119 
1.000 0.000 -0.952 1.275 -0.771 0.161 -10.436 -1.118 
1.000 0.000 -0.952 1.284 -0.762 0.160 -10.441 -1.118 
1.000 0.000 -0.998 1.286 -0.759 0.160 -10.441 -1.108 
1.000 0.000 -0.050 1.286 -0.759 0.160 -10.441 -1.108 
1.000 0.000 -0.952 1.295 -0.750 0.160 -10.449 -1.107 
1.000 0.000 -0.002 1.295 -0.750 0.160 -10.449 -1.107 
1.000 0.000 -0.000 1.300 -0.746 0.161 -10.456 -1.109 
1.000 0.000 -0.000 1.306 -0.740 0.161 -10.462 -1.102 
1.000 0.000 -0.000 1.311 -0.735 0.161 -10.465 -1.106 
1.000 0.000 -0.000 1.316 -0.730 0.161 -10.470 -1.111 
1.000 0.000 -0.000 1.308 -0.714 0.161 -10.476 -1.112 
1.000 0.000 0.000 1.300 -0.694 0.161 -10.473 -1.107 
1.000 0.000 0.000 1.300 -0.684 0.161 -10.487 -1.115 
1.000 0.000 0.000 1.300 -0.684 0.161 -10.487 -1.115 
0.050 0.950 0.000 1.300 -0.669 0.161 -10.474 -1.121 
0.950 0.050 -0.950 1.300 -0.669 0.161 -10.474 -1.121 
0.048 0.952 -0.998 1.300 -0.654 0.161 -10.492 -1.110 
0.000 1.000 -1.000 1.302 -0.649 0.161 -10.498 -1.114 
0.000 1.000 -1.000 1.305 -0.646 0.161 -10.499 -1.108 
0.000 1.000 -1.000 1.306 -0.645 0.161 -10.508 -1.114 
0.000 1.000 -1.000 1.309 -0.643 0.161 -10.517 -1.120 
0.000 1.000 -1.000 1.319 -0.653 0.159 -10.530 -1.121 
0.000 1.000 -1.000 1.330 -0.662 0.154 -10.538 -1.118 
0.000 1.000 -0.002 1.337 -0.668 0.153 -10.547 -1.122 
0.950 0.050 -0.000 1.343 -0.672 0.150 -10.558 -1.128 
1.000 0.000 -0.000 1.347 -0.675 0.149 -10.565 -1.128 
1.000 0.000 -0.000 1.349 -0.673 0.148 -10.571 -1.124 
1.000 0.000 -0.000 1.352 -0.670 0.147 -10.572 -1.119 
1.000 0.000 -0.000 1.354 -0.659 0.147 -10.574 -1.143 
1.000 0.000 0.000 1.353 -0.650 0.147 -10.578 -1.126 
1.000 0.000 0.000 1.354 -0.640 0.147 -10.574 -1.115 
1.000 0.000 0.998 1.354 -0.628 0.146 -10.589 -1.117 
1.000 0.000 0.050 1.354 -0.621 0.146 -10.578 -1.125 
1.000 0.000 0.950 1.355 -0.606 0.146 -10.590 -1.127 
0.050 0.950 0.048 1.348 -0.599 0.145 -10.591 -1.113 
0.048 0.952 0.998 1.341 -0.583 0.144 -10.585 -1.122 
0.002 0.998 0.050 1.341 -0.571 0.143 -10.593 -1.125 
0.000 1.000 0.000 1.338 -0.567 0.143 -10.593 -1.129 
0.000 1.000 0.000 1.335 -0.561 0.142 -10.610 -1.127 
0.000 1.000 0.000 1.335 -0.561 0.142 -10.610 -1.127 
0.000 1.000 0.000 1.335 -0.559 0.140 -10.624 -1.134 
0.000 1.000 0.000 1.335 -0.559 0.138 -10.632 -1.122 
0.000 1.000 0.000 1.335 -0.559 0.138 -10.632 -1.122 
0.950 0.050 0.950 1.335 -0.559 0.134 -10.647 -1.134 
0.952 0.048 0.952 1.335 -0.559 0.132 -10.657 -1.137 
0.998 0.002 0.998 1.335 -0.559 0.132 -10.657 -1.137 
1.000 0.000 1.000 1.335 -0.559 0.131 -10.662 -1.148 
1.000 0.000 1.000 1.335 -0.559 0.131 -10.662 -1.148 
1.000 0.000 1.000 1.331 -0.553 0.130 -10.662 -1.144 
1.000 0.000 1.000 1.324 -0.510 0.128 -10.663 -1.139 
1.000 0.000 1.000 1.313 -0.488 0.127 -10.663 -1.150 
1.000 0.000 0.002 1.313 -0.488 0.127 -10.663 -1.150 
1.000 0.000 0.000 1.316 -0.470 0.126 -10.663 -1.172 
0.050 0.950 0.000 1.314 -0.457 0.126 -10.663 -1.179 
0.002 0.998 -0.950 1.314 -0.447 0.126 -10.663 -1.184 
0.000 1.000 -1.000 1.315 -0.442 0.126 -10.667 -1.178 
0.000 1.000 -1.000 1.315 -0.442 0.126 -10.672 -1.177 
0.000 0.050 -1.000 1.315 -0.442 0.126 -10.674 -1.180 
0.000 0.952 -1.000 1.315 -0.442 0.126 -10.679 -1.171 
0.000 0.050 -1.000 1.320 -0.447 0.126 -10.686 -1.170 
0.000 0.952 -1.000 1.331 -0.459 0.123 -10.692 -1.171 
0.000 0.952 -1.000 1.341 -0.467 0.121 -10.699 -1.176 
0.000 0.998 -1.000 1.341 -0.467 0.121 -10.699 -1.176 
0.000 1.000 -1.000 1.349 -0.470 0.120 -10.707 -1.177 
0.000 1.000 -0.050 1.356 -0.472 0.117 -10.716 -1.178 
0.048 0.952 -0.000 1.362 -0.477 0.115 -10.721 -1.185 
