targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-3.000 -1.000 -2.952 -1.000 0.326 0.060 -0.015 0.339 
-2.050 -1.000 -2.002 -1.000 0.211 0.014 0.001 0.217 
-2.050 -1.000 -2.002 -1.000 0.211 0.014 0.001 0.217 
-2.000 -1.000 -2.000 -0.998 0.181 -0.009 0.018 0.137 
-2.000 -1.000 -1.000 -1.000 0.676 0.431 -0.325 1.683 
-2.000 -1.000 -1.000 -1.000 0.676 0.430 -0.325 1.682 
-2.000 -1.000 -1.000 -1.000 0.677 0.430 -0.327 1.683 
-1.048 -1.000 -1.000 -1.000 0.089 -0.034 0.018 0.088 
-1.048 -1.000 -1.000 -1.000 0.089 -0.034 0.018 0.088 
-1.000 -1.000 -1.000 -0.998 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -0.998 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -0.003 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -0.003 0.060 -0.057 0.035 0.008 
-1.000 -0.998 -1.000 0.000 0.060 -0.057 0.035 0.008 
-1.000 -0.998 -1.000 0.000 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -1.000 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -1.000 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -0.000 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -0.000 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -0.000 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -0.050 0.000 0.533 0.362 -0.296 1.485 
-1.000 -1.000 -0.050 0.000 0.533 0.362 -0.296 1.485 
-1.000 -0.953 -1.000 0.000 0.063 -0.052 0.033 0.014 
-1.000 -0.953 -1.000 0.000 0.063 -0.052 0.033 0.014 
-1.000 -1.000 -1.000 -0.002 0.060 -0.057 0.035 0.008 
-1.000 -1.000 -1.000 -0.002 0.060 -0.057 0.035 0.008 
-1.000 -0.000 -1.000 0.000 0.122 0.048 -0.018 0.130 
-1.000 -0.000 -1.000 0.000 0.122 0.048 -0.018 0.130 
-0.998 -0.002 -0.998 0.000 0.122 0.048 -0.017 0.129 
-1.000 0.000 -1.000 0.000 0.123 0.049 -0.018 0.130 
-1.000 0.000 -1.000 0.000 0.123 0.049 -0.018 0.130 
-1.000 0.000 -1.000 0.000 0.123 0.048 -0.018 0.130 
-1.000 0.000 -1.000 0.000 0.123 0.048 -0.018 0.130 
-1.000 0.000 -1.000 0.000 0.123 0.048 -0.018 0.130 
-1.000 0.000 -1.000 0.000 0.123 0.048 -0.018 0.130 
-1.000 0.000 -1.000 0.000 0.123 0.048 -0.018 0.130 
-0.953 -0.048 -0.003 0.000 0.590 0.461 -0.349 1.600 
-0.952 -0.048 -0.002 0.000 0.590 0.461 -0.349 1.600 
-0.952 -0.048 -0.002 0.000 0.591 0.461 -0.351 1.600 
-0.002 -0.998 -0.050 0.000 -0.087 -0.126 0.070 -0.196 
0.000 -1.000 -0.050 -0.950 -0.088 -0.128 0.071 -0.201 
0.000 -1.000 -0.050 -0.950 -0.088 -0.128 0.071 -0.201 
0.000 -1.000 -0.050 -0.950 -0.088 -0.128 0.071 -0.201 
0.000 -1.000 -0.000 -0.000 -0.063 -0.106 0.053 -0.123 
-35.000 -28.000 -31.952 -28.000 3.051 0.106 1.749 4.657 
-35.000 -28.000 -31.952 -28.000 3.050 0.104 1.750 4.650 
-35.000 -28.000 -31.000 -28.000 3.348 0.607 1.868 6.087 
-35.000 -28.000 -31.000 -28.000 3.359 0.616 1.871 6.116 
-35.000 -28.000 -31.000 -28.000 3.379 0.633 1.874 6.176 
-35.000 -28.000 -31.000 -28.000 3.393 0.644 1.875 6.217 
-33.003 -27.050 -29.052 -27.050 3.236 0.639 1.795 6.086 
-33.003 -27.050 -29.052 -27.050 3.253 0.652 1.798 6.134 
-29.055 -24.100 -25.105 -24.053 3.011 0.810 1.645 6.133 
-29.055 -24.100 -25.105 -24.053 3.042 0.834 1.643 6.219 
-25.053 -22.053 -22.003 -22.050 2.457 0.385 1.381 4.672 
-25.053 -22.053 -22.003 -22.050 2.474 0.396 1.378 4.717 
-23.003 -20.003 -20.003 -20.003 2.358 0.511 1.289 4.706 
-23.003 -20.003 -20.003 -20.003 2.367 0.518 1.289 4.732 
-22.950 -19.000 -20.000 -19.000 2.407 0.611 1.272 4.807 
-22.950 -19.000 -20.000 -19.000 2.416 0.617 1.270 4.829 
-22.002 -18.050 -20.000 -17.050 2.053 0.136 1.112 3.315 
-22.002 -18.050 -20.000 -17.050 2.059 0.139 1.111 3.328 
-17.055 -14.053 -16.003 -14.003 1.434 -0.188 0.799 1.764 
-17.055 -14.053 -16.003 -14.003 1.438 -0.187 0.799 1.772 
